title     appeared  type rank
Qalb 2012 pl   979
verona    2019 pl   980
Cell 2017 pl   981
Hackett   2017 pl   982
Stan 2012 pl   983
Stencil   2018 template  984
lmdb 2011 library   985
PogoScript     2011 pl   986
Brightscript   2010 pl   987
winxed    2009 pl   988
Megaparsec     2015 library   989
Tap code  1941 notation  990
ColaScript     2012 pl   991
Laravel   2011 framework 992
xlwings-editor 2013 library   993
Strips    1969 pl   994
MVEL 2003 pl   995
IP Pascal 1990 pl   996
Perl Data Language  1996 pl   997
kitten    2012 pl   998
Mech 2018 pl   999
DOML 2017 dataNotation   1000
Large-scale Atomic/Molecular Massively Parallel Simulator Format 1995 application    1001
LOGLAN    1982 pl   1002
DokuWiki  2004 wikiMarkup     1003
svgbob    2016 textMarkup     1004
SRL  2016 queryLanguage  1005
rant 2014 pl   1006
manhood   2014 pl   1007
Cycript   2008 pl   1008
Raku 2019 pl   1009
Vigil     2013 esolang   1010
Pure 2008 pl   1011
Formulating On-Line Calculations in Algebraic Language 1968 pl   1012
Real-time Transport Protocol  1996 protocol  1013
Ch   2003 pl   1014
Hindu-Arabic numeral system   825  numeralSystem  1015
checked-c 2015 pl   1016
Committee on Uniform Security Identification Procedures     1968 schema    1017
SMT  2003 pl   1018
Caché Basic    1997 queryLanguage  1019
A-0 system     1951 compiler  1020
storyscript    2017 pl   1021
Aardvark  2020 pl   1022
VML  1998 xmlFormat 1023
Cranelift 2016 ir   1024
Ezhil     2007 pl   1025
Snowman   2015 decompiler     1026
FreeMarker     2000 template  1027
Pan  2011 pl   1028
Pep8 2009 assembly  1029
Logtalk   1998 pl   1030
SRecode Template    2000 textMarkup     1031
TI Program     1970 assembly  1032
Fibonacci 1991 pl   1033
Observable     2017 pl   1034
packagist-pm   2011 packageManager 1035
WebIDL    2012 idl  1036
Sieve mail filtering language 2008 application    1037
Notepad++ 2003 editor    1038
Hyperscript    2020 pl   1039
gluon     2014 pl   1040
BQN  2020 pl   1041
Spatial   2018 pl   1042
Common Object File Format     1983 binaryExecutable    1043
Jargon    1987 pl   1044
json-graph-format   2014 jsonFormat     1045
Not eXactly C  2006 pl   1046
Mary 1970 pl   1047
DOODLE    1992 pl   1048
Apache Lucene  1999 queryLanguage  1049
Dak  2022 pl   1050
T    1980 pl   1051
Open Data Protcol   2007 protocol  1052
P    2013 pl   1053
JSON with Comments  2001 dataNotation   1054
Luna 2011 pl   1055
Property list  2012 textMarkup     1056
ActivityPub    2018 protocol  1057
Script.NET     2007 pl   1058
bog  2020 pl   1059
MAXScript 1996 pl   1060
invokator 2004 pl   1061
Umple     2008 pl   1062
Open Shading Language    2008 pl   1063
YAWL 2006 pl   1064
C2   2012 pl   1065
Creative Basic 2008 pl   1066
Pandoc    2006 application    1067
mathics   2012 pl   1068
LoomScript     2013 pl   1069
Shakespeare    2001 pl   1070
Basis Codec    2019 binaryDataFormat    1071
SQL/PSM   1996 pl   1072
Linotte   2005 pl   1073
Flutter   2017 framework 1074
Almquist shell 1989 pl   1075
JOSS 1966 pl   1076
Stutter   2018 esolang   1077
Compiler-Compiler   1963 pl   1078
Epigram   2004 pl   1079
Kodu Game Lab  2009 pl   1080
WebP 2010 binaryDataFormat    1081
TIScript  2007 pl   1082
ARC processor  1995 isa  1083
XHTML     2000 dataNotation   1084
pasukon   2020 grammarLanguage     1085
Gopher    1991 protocol  1086
roy  2011 pl   1087
Video Graphics Array     1987 standard  1088
Apache Cassandra    2008 database  1089
jsil-compiler  2010 compiler  1090
plot 2019 template  1091
desktop   2008 application    1092
Type Language  2013 pl   1093
Windows Registry Entries 1992 application    1094
Programming Language for Business  1972 pl   1095
UBASIC    1991 pl   1096
Unified Diff   1990 diffFormat     1097
Post Office Protocol     1957 protocol  1098
OpenEdge ABL   2006 pl   1099
Blockly   2011 library   1100
Nexus file     1997 textDataFormat 1101
NetRexx   1996 pl   1102
MOO  1993 pl   1103
Treelang  1988 pl   1104
Touch     2020 textMarkup     1105
InfiniBand     1999 standard  1106
Bun  2021 vm   1107
HeLang    2022 pl   1108
Esterel   1980 pl   1109
PL360     1967 pl   1110
nesC 2002 pl   1111
Jolie     2006 pl   1112
Opal 1994 pl   1113
RPM Spec  1997 application    1114
NATURAL   1971 pl   1115
Arden syntax   1992 dataNotation   1116
ColdFusion Components    1995 xmlFormat 1117
Glicol    2020 musicalNotation     1118
Autodesk Revit 1997 application    1119
spry 2015 pl   1120
Turbo Assembler     1989 pl   1121
Quaint    2014 textMarkup     1122
Sheep     2000 pl   1123
EXPRESS   2004 dataNotation   1124
souper    2014 optimizingCompiler  1125
AviSynth  2000 editor    1126
Jison Lex 2013 pl   1127
Blade     2011 template  1128
Extensible Embeddable Language     2005 pl   1129
dexvis    2012 application    1130
GRASS     1977 pl   1131
hurl 2020 application    1132
TECO 1963 pl   1133
VHDL-AMS  1993 pl   1134
Fable     2012 pl   1135
Flow9     2010 pl   1136
M4Sugar   2003 pl   1137
Operational Control Language  1986 pl   1138
Violent ES     2022 pl   1139
asterius-compiler   2017 compiler  1140
Parrot Assembly     2003 assembly  1141
HL7  1989 pl   1142
FP   1977 pl   1143
Smiles    1988 textDataFormat 1144
PEARL     1977 pl   1145
tidyverse 2016 library   1146
SSI  2004 template  1147
Open Database Connectivity    1990 protocol  1148
Google Apps Script  2009 pl   1149
llhd 2016 hardwareDescriptionLanguage   1150
opam-pm   2012 packageManager 1151
WHOIS     1970 protocol  1152
lamdu-editor   2011 editor    1153
Lamdu     2011 pl   1154
erg  2022 pl   1155
MATH-MATIC     1957 pl   1156
EGL  2008 pl   1157
FML  2012 pl   1158
Speedcoding    1953 pl   1159
Flix 2016 pl   1160
Kaggle    2010 application    1161
Rpm  1997 packageManager 1162
Wasp 2019 pl   1163
OpenNN    2003 library   1164
bpkg-pm   2017 packageManager 1165
Query by Example    1969 pl   1166
Cyber     2022 pl   1167
Carpet    1997 pl   1168
Molfile   1979 textDataFormat 1169
crush     2020 pl   1170
Reko 2007 decompiler     1171
comby     2019 grammarLanguage     1172
VCF  2011 textDataFormat 1173
Earl Grey 2014 pl   1174
Scroll    2020 textMarkup     1175
Handel-C  1996 pl   1176
Newick format  1986 textDataFormat 1177
IBM 1620  1959 assembly  1178
Maya Embedded Language   2013 pl   1179
Logos     2010 pl   1180
Spline Font Database     2004 application    1181
exkited   2018 template  1182
Markus    2020 queryLanguage  1183
Txt2tags  2001 textMarkup     1184
leo-editor     2013 editor    1185
ferret    2017 pl   1186
Xgboost   2014 binaryDataFormat    1187
PDP-11    1970 computingMachine    1188
TAP  1988 protocol  1189
tiledb    2017 database  1190
GFA BASIC 1986 pl   1191
haste     2014 pl   1192
Ternary numeral system   2001 notation  1193
XC   2005 pl   1194
HiveQL    2011 queryLanguage  1195
X Font Directory Index   1991 application    1196
XCompose  2006 application    1197
snakemake 2012 pl   1198
femtolisp 2008 pl   1199
Swallow   2021 pl   1200
Ark  2014 pl   1201
BlooP     1979 esolang   1202
tht  2017 pl   1203
monte     2014 pl   1204
ELLA 1979 pl   1205
astroml   2012 library   1206
Cypher Query Language    2011 queryLanguage  1207
Lingo     1988 pl   1208
MXML 2004 xmlFormat 1209
EEX  2012 template  1210
JSX  2013 template  1211
Guix Workflow Language   2017 pl   1212
GNU nano  2000 editor    1213
kona 2010 pl   1214
Lux  2014 pl   1215
Hedy 2020 pl   1216
Semantic Patch Language  2006 grammarLanguage     1217
XML Binding Language     2000 xmlFormat 1218
lobster   2011 pl   1219
3DS  1990 binaryDataFormat    1220
Vale 2017 assembly  1221
gentee    2018 pl   1222
MACRO-10  1978 pl   1223
Cali-Lang 2015 pl   1224
Em   2020 textMarkup     1225
Superjson 2014 dataNotation   1226
clash     2015 pl   1227
lispyscript    2012 pl   1228
Punycode  2003 characterEncoding   1229
XBLite    2001 pl   1230
NestedText     2020 dataNotation   1231
CFEngine  1993 application    1232
KRL  1976 pl   1233
Frost     2017 pl   1234
Q#   2017 pl   1235
fetlang   2017 esolang   1236
Mesa 1970 pl   1237
ALGO 1958 pl   1238
Genshi    2006 template  1239
Sinclair BASIC 1979 pl   1240
Farcaster 2021 protocol  1241
Berry     2018 pl   1242
Ć    2011 pl   1243
DNS over HTTPS 2018 protocol  1244
Adept     2018 pl   1245
Plus 1976 pl   1246
Module Management System 2005 pl   1247
turnstile 2017 grammarLanguage     1248
Stackless Python    1998 interpreter    1249
Asterisk  1999 application    1250
MurmurHash     2008 hashFunction   1251
ISWIM     1966 pl   1252
Differential Datalog     2018 pl   1253
kasaya    2018 application    1254
Noweb     1989 textMarkup     1255
1C Enterprise Script     2002 pl   1256
Rapira    1987 pl   1257
dslx 2020 pl   1258
PLZ  1979 pl   1259
dex  2018 pl   1260
MASM 1981 pl   1261
FOCUS     1997 pl   1262
miniML_error   2013 plzoo     1263
XUML 2002 pl   1264
Z-machine 1980 pl   1265
lem-editor     2015 editor    1266
harlan    2011 pl   1267
sile 2012 textMarkup     1268
Sweave    2002 template  1269
Newspeak  2006 pl   1270
AsciiMath 2014 textMarkup     1271
ACL2 1990 pl   1272
Object Rexx    1988 pl   1273
Locomotive BASIC    1984 pl   1274
spider    2014 pl   1275
Knitr     2012 template  1276
XPages    2008 application    1277
Xbasic    1988 pl   1278
Executable JSON     2013 pl   1279
relax     2000 grammarLanguage     1280
WML  1998 xmlFormat 1281
reflex-framework    2015 framework 1282
tea  2021 packageManager 1283
Ch computer programming  2001 pl   1284
Typed Lua 2019 pl   1285
hobbes    2017 pl   1286
Autocode  1954 pl   1287
circle-lang    2019 pl   1288
Mond 2014 pl   1289
Gentoo Ebuild  1999 pl   1290
MIRC scripting language  1995 pl   1291
HXML 2009 application    1292
JAL compiler   2000 compiler  1293
PROMAL    1986 pl   1294
Rescript  2020 pl   1295
Hierarchical File System 1985 filesystem     1296
cityhash-hash-function   2011 hashFunction   1297
Google Sheets  2006 application    1298
Smartsheet     2006 application    1299
Wyvern    2012 pl   1300
International System of Quantities 2009 schema    1301
score     2013 pl   1302
Nios II   2000 isa  1303
rason     2015 pl   1304
Revolution     1993 pl   1305
UnrealScript   1998 pl   1306
Subleq    2009 isa  1307
Simple Actor Language System and Architecture     2001 pl   1308
Avail     2010 pl   1309
BARE 2020 idl  1310
XSD  2001 dataValidationLanguage   1311
General Purpose Simulation System  1960 pl   1312
NS Basic  1994 pl   1313
AL   2016 pl   1314
Assembly CLI   2005 library   1315
.QL  2007 pl   1316
dub-pm    2012 packageManager 1317
atomspace 2008 application    1318
neut 2018 pl   1319
bee  2019 pl   1320
Object Linking and Embedding  1990 protocol  1321
NGS  2013 pl   1322
CSVw 2014 dataValidationLanguage   1323
Grammatical Framework    1998 grammarLanguage     1324
Qore 2006 pl   1325
Aheui     2012 esolang   1326
Parser 3  1997 pl   1327
neeilang  2019 pl   1328
hilvl     2015 pl   1329
Maude     1990 pl   1330
fo   2018 pl   1331
Swagger   2011 framework 1332
Pyret     2012 pl   1333
Schema.org     2011 dataValidationLanguage   1334
curv 2016 pl   1335
I-expressions  2003 dataNotation   1336
PLANNER   1969 pl   1337
HP BASIC for OpenVMS     1982 pl   1338
SuperBASIC     1984 pl   1339
Confluence     2004 textMarkup     1340
Sam Coupé 1989 pl   1341
XBRL 2003 xmlFormat 1342
BASIC Stamp    1990 pl   1343
Rc   1989 pl   1344
Livr 2012 dataValidationLanguage   1345
F    1996 pl   1346
muon 2019 pl   1347
SATySFi   2015 textMarkup     1348
Mako 2006 template  1349
Yet Another Scripting Language     2017 pl   1350
Frink     2001 pl   1351
Fast Healthcare Interoperability Resources   2011 standard  1352
visdown   2016 textMarkup     1353
NuGet     2010 packageManager 1354
CLISP     1973 pl   1355
FAUST     2002 pl   1356
Template Attribute Language   2007 template  1357
GLBasic   2003 pl   1358
EXEC 1966 pl   1359
Gerbil Scheme  2016 pl   1360
BitBake   2004 pl   1361
Gherkin   2008 pl   1362
flagship  1986 pl   1363
mpl  1988 pl   1364
BASIC Programming   1979 pl   1365
Handlebars     2010 template  1366
ObjDump   1991 application    1367
ApacheConf     1995 application    1368
Nymph     2017 pl   1369
Crema     2014 pl   1370
Caltech Intermediate Form     1980 pl   1371
Recfiles  1994 dataNotation   1372
Jsonnet   2014 dataNotation   1373
Pomsky    2022 pl   1374
Connection Machine  1990 pl   1375
Extended file system     1992 filesystem     1376
Dale 2013 pl   1377
F-Script  2009 pl   1378
CIR  2020 ir   1379
LUCID     1976 pl   1380
Cayenne   1998 pl   1381
Fully Automated Compiling Technique     1959 pl   1382
Parrot BASIC   2009 pl   1383
hamler    2019 pl   1384
Integer BASIC  1977 pl   1385
xodio     2015 visual    1386
kitlang   2018 pl   1387
Passerine 2021 pl   1388
Etoys     1996 pl   1389
Babylonian numerals -2000     numeralSystem  1390
GN   2015 application    1391
SQF  2002 pl   1392
tcsh 1983 pl   1393
Orc  2004 pl   1394
p4p  2010 pl   1395
Language Server Index Format  2019 jsonFormat     1396
Hare 2020 pl   1397
Ligo 2019 contractLanguage    1398
ddfql     2016 queryLanguage  1399
SFC  1993 pl   1400
basic calculator    1975 pl   1401
hashlink  2015 bytecode  1402
Caramel   2020 pl   1403
abs  2018 pl   1404
Snap!     2011 pl   1405
International Chemical Identifier  2005 textDataFormat 1406
ink-lang  2019 pl   1407
Memex     1945 computingMachine    1408
COMAL     1973 pl   1409
Spec Sharp     2004 pl   1410
vdscript  2000 pl   1411
MiniZinc  2012 pl   1412
Zonnon    2003 pl   1413
SdlBasic  2002 pl   1414
General feature format   2006 textDataFormat 1415
firrtl    2015 ir   1416
dlvm 2017 ir   1417
PowerQuery M   2015 queryLanguage  1418
Ren  2013 dataNotation   1419
Formatted Table     1990 dataNotation   1420
bloom     2010 pl   1421
APT Debian     1998 packageManager 1422
djangoql  2017 pl   1423
Atmel AVR instruction set     1996 isa  1424
S-PLUS    1988 pl   1425
mochi     2014 pl   1426
koara     2016 textMarkup     1427
Hocon     2011 dataNotation   1428
ToonTalk  1995 pl   1429
fe   2019 pl   1430
Oxyl 2019 pl   1431
Lisp Machine Lisp   1974 pl   1432
ballerina-central-pm     2015 packageManager 1433
Z    2012 pl   1434
Fun  2010 pl   1435
Genero Business Development Language    2010 pl   1436
holyc     2005 pl   1437
Interlisp 1966 pl   1438
Catala    2019 pl   1439
hacspec   2018 pl   1440
silk 2019 pl   1441
Uniform eXchange Format  2022 dataNotation   1442
txr  2009 pl   1443
Zimpl     2004 pl   1444
TELOS     1990 pl   1445
Flavors   1980 pl   1446
Egison    2013 pl   1447
Pact 2016 contractLanguage    1448
scribble  1997 pl   1449
OCL  1997 pl   1450
JavaFX Script  2005 pl   1451
NeXML format   2007 xmlFormat 1452
Bucardo   2009 application    1453
noulith   2022 pl   1454
JSON Query Language 2019 queryLanguage  1455
Cirru     2012 pl   1456
Grace     2010 pl   1457
Adobe Font Metrics  1987 application    1458
manool    2018 pl   1459
Ubercode  2005 pl   1460
Boron     2009 pl   1461
Edge Side Includes  2001 pl   1462
BIND 2000 application    1463
Potion    2007 pl   1464
spiral    2017 pl   1465
astro     2016 pl   1466
Z++  1991 pl   1467
Linda     1986 pl   1468
noisecraft     2021 pl   1469
raptorjit 2009 pl   1470
Marp 2018 textMarkup     1471
eff  2012 pl   1472
Yum  1999 packageManager 1473
XML Metadata Interchange 2015 xmlFormat 1474
Scribe    1980 pl   1475
Redcode   1984 pl   1476
humanhash-hash-function  2011 hashFunction   1477
Flowgorithm    2014 visual    1478
Michigan Algorithm Decoder    1959 pl   1479
WDDX 1998 pl   1480
Bioconductor   2001 packageManager 1481
jayfor    2014 pl   1482
MIMIC     1964 pl   1483
Mouse     1970 pl   1484
NWScript  2004 pl   1485
JSON Graph Spec     2013 jsonFormat     1486
Claro     2021 pl   1487
Zot  2015 pl   1488
lav-format     2004 textDataFormat 1489
Acorn Atom     1980 pl   1490
Sibelius  1998 pl   1491
RDF Schema     1998 grammarLanguage     1492
Family BASIC   1984 pl   1493
Vale 2020 pl   1494
tsquery   2018 queryLanguage  1495
VisualWorks    1985 pl   1496
WATFIV    1968 pl   1497
NixOS     2003 os   1498
MACRO     1979 pl   1499
sixten    2014 pl   1500
oden 2016 pl   1501
Cadence SKILL  1990 pl   1502
Parallax Propeller  2006 isa  1503
MUSIC/SP  1972 pl   1504
Adventure Game Studio Script  2001 pl   1505
Kit  2012 template  1506
Alma 2014 pl   1507
C shell   1978 pl   1508
Charity   1992 pl   1509
Toi  2015 pl   1510
Pawn 1998 pl   1511
owen-lang 2019 pl   1512
epsilon   1967 pl   1513
GraphQL Schema Definition Language 2018 idl  1514
Watcom    1988 pl   1515
05AB1E    2015 esolang   1516
Plankalkul     1948 pl   1517
RELAX NG  2001 grammarLanguage     1518
hazel     2016 pl   1519
Oak  1991 pl   1520
Jank 2015 pl   1521
MXF  2004 binaryDataFormat    1522
GraphML   2001 xmlFormat 1523
Tuple space    1988 pl   1524
RSS  1999 protocol  1525
JSLT 2017 pl   1526
Berkeley DB    1994 library   1527
attoparsec     2010 library   1528
Morfik    2000 pl   1529
StarLogo  2008 pl   1530
Airtable  2012 application    1531
HAGGIS    2010 pl   1532
Deb file format     2003 binaryDataFormat    1533
AMOS 1990 pl   1534
Lustre    1993 pl   1535
GNU Data Language   2004 idl  1536
CFScript  1999 pl   1537
TextMate Language   2004 grammarLanguage     1538
Umka 2020 pl   1539
pie-lang  2018 pl   1540
Hodor     2015 esolang   1541
Rouge     2012 pl   1542
popr 2012 pl   1543
Groovy Server Pages 2008 template  1544
PeopleCode     2008 pl   1545
FaCT 2017 pl   1546
parenthetic    2012 esolang   1547
Battlestar     2014 pl   1548
kai  2016 pl   1549
UCG  2017 dataNotation   1550
Invisible XML  2020 grammarLanguage     1551
Xidoc     2021 textMarkup     1552
JS++ 2011 pl   1553
latino    2015 pl   1554
Conceptual     2019 pl   1555
HMMM 2006 assembly  1556
AmigaBASIC     1985 pl   1557
XPL  1967 pl   1558
Numbers   2007 application    1559
MSX BASIC 1984 pl   1560
multicodec     2015 standard  1561
Property Specification Language    2004 pl   1562
HAL/S     1972 assembly  1563
DAX  2009 queryLanguage  1564
CORAL     1964 pl   1565
SISAL     1983 pl   1566
CHIP-8    1970 pl   1567
Liberty BASIC  1992 pl   1568
COWSEL    1964 pl   1569
PILOT     1962 pl   1570
QuakeC    1996 pl   1571
SCRIPT markup  1999 pl   1572
Amiga E   1993 pl   1573
Yacas     1999 pl   1574
Q    1991 pl   1575
Kid templating language  1999 template  1576
REDUCE    2011 pl   1577
Vvvv 1998 application    1578
Structured text     2019 pl   1579
BLAKE     2012 hashFunction   1580
partiql   2019 queryLanguage  1581
cat  2016 pl   1582
ldpl 2019 pl   1583
pointless 2020 pl   1584
JSON Lines     2013 dataNotation   1585
zenscript 2014 pl   1586
Sophia    2018 contractLanguage    1587
cor  2016 pl   1588
Project Mentat 2016 queryLanguage  1589
Z-flat    2021 pl   1590
Incipit   2021 textMarkup     1591
Goal 2022 pl   1592
Lil  2022 pl   1593
Standard Portable Intermediate Representation     2014 ir   1594
Newsqueak 1990 pl   1595
Coco 2010 pl   1596
pikelet   2017 pl   1597
Li-Chen Wang   1976 pl   1598
forest-lang    2017 pl   1599
k-framework    2013 grammarLanguage     1600
BASIC-PLUS     1975 pl   1601
CMS-2     1968 pl   1602
Sketchpad 1962 pl   1603
Go!  2003 pl   1604
Information Processing Language    1954 pl   1605
[x]it!    2022 dataNotation   1606
Metalang99     2021 pl   1607
OPS5 1977 pl   1608
hakaru    2014 pl   1609
VSXu 2004 visual    1610
lemon     2017 pl   1611
tao3d     2003 pl   1612
Thue 2004 esolang   1613
GEL Genius     1997 pl   1614
dyvil     2014 pl   1615
Judoscript     2001 pl   1616
parasail  2009 pl   1617
Breccia   2019 textMarkup     1618
ArchieML  2015 dataNotation   1619
Vely 2022 pl   1620
Finite State Language    2016 pl   1621
Soy  2008 template  1622
StruQL    1999 queryLanguage  1623
Euler     1965 pl   1624
Lucidchart     2008 application    1625
Hush 2021 pl   1626
co-dfns   2012 pl   1627
SIMSCRIPT 1963 pl   1628
NESL 1993 pl   1629
Facelets  2005 template  1630
TOM object-oriented 1999 pl   1631
RTL/2     1972 pl   1632
Note 2012 dataNotation   1633
VisSim    1989 pl   1634
IBM POWER Instruction Set Architecture  1998 isa  1635
RubyGems  2018 packageManager 1636
MultiDimensional eXpressions  1997 queryLanguage  1637
httplang  2015 pl   1638
YARV 2007 vm   1639
Algebraic modeling language   1980 pl   1640
myia 2017 pl   1641
ASDF 2015 pl   1642
Geany     2005 editor    1643
QUEL 1976 queryLanguage  1644
MyBB 2002 pl   1645
RAPID     1994 pl   1646
FRACTRAN  1996 esolang   1647
Forsyth-Edwards Notation 1883 notation  1648
cuneiform 2015 pl   1649
OpenType Feature File    1996 application    1650
elena     2013 pl   1651
Augeas    2007 pl   1652
tangledown     2011 template  1653
Pod6 2019 textMarkup     1654
Fuzuli    2012 pl   1655
Alpaca    2017 pl   1656
Topaz     2021 pl   1657
Sublime Syntax Test Lang 2008 grammarLanguage     1658
POP-2     1967 pl   1659
HP Time-Shared BASIC     1969 pl   1660
Analytical engine   1837 computingMachine    1661
Mangle    2022 pl   1662
multiaddr 2014 schema    1663
STOS BASIC     1988 pl   1664
Business Basic 1970 pl   1665
BPML 2002 pl   1666
psyche-c  2016 compiler  1667
Zope 1999 application    1668
Sibilant  2010 pl   1669
Function block diagram   2001 pl   1670
OpenEXR   1999 binaryDataFormat    1671
Gwion     2016 pl   1672
micro-mitten   2020 pl   1673
dedukti   2009 pl   1674
Wavefront Material  1988 application    1675
IBM i Control Language   1993 pl   1676
Fjölnir   1986 pl   1677
orange    2014 pl   1678
reforth   2013 pl   1679
Nice 2006 pl   1680
Blacklight     2015 pl   1681
BANCStar  1996 pl   1682
z80  1976 assembly  1683
gura 2012 pl   1684
swizzle   2018 esolang   1685
verifpal  2019 pl   1686
Linux Kernel Module 1996 application    1687
LOLA 1991 pl   1688
Yedalog   2015 queryLanguage  1689
JSON lambda    2017 queryLanguage  1690
fleck     2019 pl   1691
Janus     1982 pl   1692
jeebox    2012 pl   1693
A#   2004 pl   1694
Bython    2016 pl   1695
orca-pl   2018 esolang   1696
Text Adventure Development System  1988 application    1697
AIMMS     1993 pl   1698
CBOR 2013 binaryDataFormat    1699
Bro  1994 pl   1700
topshell  2018 pl   1701
Strongtalk     1994 pl   1702
TRAC 1964 pl   1703
Textadept 2007 editor    1704
LinearML  2010 pl   1705
Cone 2017 pl   1706
OK   2021 pl   1707
MDL  1971 pl   1708
Gödel (Goedel) 1992 pl   1709
Heron     2016 pl   1710
taf  2012 pl   1711
CSpydr    2021 pl   1712
GLMS 2022 pl   1713
BuddyScript    2002 pl   1714
Velocity Template Language    2000 template  1715
Ripple    2014 pl   1716
maraca-lang    2018 pl   1717
Aime 2013 pl   1718
fizz 2017 pl   1719
BALGOL    1959 pl   1720
net-format     2006 textDataFormat 1721
WMLScript 1998 pl   1722
Boomerang Decompiler     2002 decompiler     1723
N-Triples 2014 dataNotation   1724
POPLOG    1992 pl   1725
april     2017 pl   1726
QtScript  2008 pl   1727
plam 2017 pl   1728
Quicken Interchange Format    2000 textDataFormat 1729
quicklisp-pm   2010 packageManager 1730
STON 2012 application    1731
Interchange File Format  1985 binaryDataFormat    1732
THEOS     1977 pl   1733
Visual Objects 1994 pl   1734
Casio BASIC    2006 pl   1735
jsparagus 2018 grammarLanguage     1736
HyPhy     2008 pl   1737
TriG syntax    2007 dataNotation   1738
mimium    2019 pl   1739
DataWeave 2014 pl   1740
ELFE 2003 pl   1741
OEM  1995 schema    1742
File Oriented Interpretive Language     1967 pl   1743
M2001     2001 pl   1744
Đ    2019 pl   1745
BeBasic   2009 pl   1746
TQL  2023 queryLanguage  1747
GAML 1991 pl   1748
Tao  2020 pl   1749
HuJSON    2019 dataNotation   1750
Kal  2012 pl   1751
titan     2017 pl   1752
Basic-256 2007 pl   1753
XOTcl     2000 pl   1754
JSL  1989 pl   1755
bamboo    2016 pl   1756
Turbo-Basic XL 1985 pl   1757
Wu   2018 pl   1758
LC-3 2003 pl   1759
mirth     2019 pl   1760
Austral   2018 pl   1761
Joule     1996 pl   1762
stoneknifeforth     2008 pl   1763
Coco/R    1990 grammarLanguage     1764
PBASIC    1988 pl   1765
KRC  1981 pl   1766
minikanren     2013 pl   1767
Pyrex     2002 pl   1768
baysick   2009 esolang   1769
hexagony  2015 esolang   1770
World of Warcraft Addon Data  2012 application    1771
Easytrieve     1969 pl   1772
Ohayo     2017 pl   1773
Lite-C    2007 pl   1774
Document Structure Description     2000 xmlFormat 1775
Draco     1987 pl   1776
Truth     2019 dataNotation   1777
Zimbu     2009 pl   1778
Promela   1997 pl   1779
P*   2013 pl   1780
Jevko     2021 dataNotation   1781
Mscgen    2016 textMarkup     1782
Picat     2012 pl   1783
Explorer  2020 visual    1784
AUTOCODER 1955 assembly  1785
Jeeves    2013 pl   1786
KUKA Robot Language 2010 pl   1787
infusion-framework  2007 framework 1788
buzz 2021 pl   1789
ulisp     2016 pl   1790
MessagePack    2009 binaryDataFormat    1791
Executive Systems Problem Oriented Language  1967 pl   1792
t2b  2018 pl   1793
Model 204 1972 pl   1794
pipelines 2018 pl   1795
Links     2006 pl   1796
multibase 2016 standard  1797
Matrix protocol     2014 protocol  1798
Notation3 1998 dataNotation   1799
Virgil    2006 pl   1800
Structured Query Reporter     1980 pl   1801
solid     2013 pl   1802
Vyxal     2020 esolang   1803
Homa 2018 protocol  1804
ObjectScript   2012 pl   1805
Caché ObjectScript  1997 pl   1806
Candy     2020 pl   1807
SMX  1998 pl   1808
jiyu 2019 pl   1809
kumir     2011 pl   1810
Atomese   2007 pl   1811
mint 2018 pl   1812
PML  1986 textMarkup     1813
Manchester syntax   2006 dataNotation   1814
HyTime    1991 pl   1815
Linden Scripting Language     2003 pl   1816
PLEX 1975 pl   1817
GorillaScript  2013 pl   1818
Balanced ternary    1544 notation  1819
C/AL 1987 pl   1820
COMIT     1957 pl   1821
Basic4ppc 2005 pl   1822
datafun   2015 pl   1823
NEWP 1985 pl   1824
son  2017 textMarkup     1825
Optimized Systems Software    1981 pl   1826
SYNAPSE   1990 pl   1827
LispWorks 1989 pl   1828
Processor Technology     1975 pl   1829
fructure-editor     2017 pl   1830
Smile data interchange format 2010 binaryDataFormat    1831
inko 2015 pl   1832
tampio    2017 pl   1833
xxl  2016 pl   1834
Uniface   1994 pl   1835
Kamby     2022 pl   1836
Sugar     2006 pl   1837
ten  2019 pl   1838
Nuua 2018 pl   1839
Mudlle    1998 pl   1840
Visual Tool Markup Language   1997 pl   1841
CEEMAC    1980 pl   1842
YESS 2022 protocol  1843
Céu  2011 pl   1844
Macchiato 2019 pl   1845
concurnas 2018 pl   1846
hoon 2011 pl   1847
Filterscript   2012 pl   1848
Reactive Plan Language   1993 pl   1849
tremor-query   2019 queryLanguage  1850
xTAO Modeling Language   2005 xmlFormat 1851
Fossil    2006 application    1852
GNU Guix  2013 distribution   1853
SipHash   2011 hashFunction   1854
Haxe Library Manager     2013 packageManager 1855
ko   2018 pl   1856
Small-C   1980 pl   1857
PTX  2009 assembly  1858
Visual Paradigm     2002 application    1859
X BitMap  1989 textDataFormat 1860
Gremlin   2009 queryLanguage  1861
Semantic Web Rule Language    2004 xmlFormat 1862
Functional PHP Preprocessor   2018 pl   1863
SDTM 2004 standard  1864
Conway chained arrow notation 1996 notation  1865
crmsh     2008 pl   1866
DML  2005 pl   1867
juvix     2017 pl   1868
Lucid     2014 template  1869
Short Code computer language  1949 pl   1870
Kuroko    2020 pl   1871
Parenscript    2009 pl   1872
ΜC++ 1992 pl   1873
Wing 2022 pl   1874
Scala Markup Language    2010 template  1875
Gren 2012 pl   1876
Rebeca Modeling Language 2004 pl   1877
Parlog    1983 pl   1878
Toy  2018 pl   1879
blz  2015 pl   1880
